,Strength,MSE,Method,A,A0,A1
214,2.5,1.0381367322950978,ols,[0.51342561 0.78280801],0.5134256113363929,0.7828080081181282
215,2.5,1.2469957064217605,ols,[ 0.86695195 -0.08309591],0.8669519532870702,-0.083095913477668
216,2.5,2.289767289299923,ols,[2.61146422 0.69554996],2.6114642162316564,0.6955499557417187
217,2.5,1.4749479677624417,ols,[-2.24630017 -1.49516539],-2.246300166197736,-1.4951653877975244
218,2.5,3.627122873774376,ols,[ 2.68775235 -0.80925143],2.687752345471528,-0.8092514342224332
219,2.5,1.091856293176596,ols,[-1.94400516 -2.38720233],-1.9440051649467427,-2.3872023300485443
220,2.5,3.2150599794117465,ols,[3.34266326 0.69680721],3.3426632578217026,0.696807214157919
221,2.5,2.4444324619147886,ols,[ 0.78208014 -2.57462189],0.7820801352618806,-2.5746218871079836
222,2.5,7.356966205305385,ols,[ 4.88786267 -0.14848384],4.887862673978545,-0.1484838438354239
223,2.5,3.560893588015254,ols,[3.7724617  1.01498674],3.77246170084899,1.0149867369682044
224,2.5,2.068045261613281,ols,[ 1.71033471 -0.48622558],1.7103347107026372,-0.4862255822732784
225,2.5,1.554381316199468,ols,[-1.12172558 -4.16675298],-1.1217255845741985,-4.166752984781368
226,2.5,4.472266502638435,ols,[-2.59290489  1.76425771],-2.5929048910567665,1.7642577142326896
227,2.625,3.206671419540835,ols,[-3.94833607 -1.67123216],-3.9483360671496044,-1.6712321576283031
228,2.625,3.9372810733147943,ols,[ 2.65772403 -1.15230625],2.6577240294104536,-1.1523062499643848
229,2.625,2.9394852627375885,ols,[-2.24266685  0.80681467],-2.2426668500499756,0.8068146711465569
230,2.625,3.3150860395942114,ols,[ 0.42575709 -4.16489574],0.42575708820673047,-4.164895737207723
231,2.625,3.3792497163614175,ols,[-2.41491796  0.97849235],-2.4149179630796795,0.9784923542565109
232,2.625,6.008328880921143,ols,[-4.18932467  0.36553954],-4.189324671436979,0.3655395412361612
233,2.625,1.1844534231131387,ols,[4.88624765 6.67675394],4.886247652207519,6.676753936110593
234,2.625,1.078554031018924,ols,[-1.03244201 -2.24184386],-1.0324420099775862,-2.2418438579109994
235,2.625,7.975720506532889,ols,[6.2696851 1.726926 ],6.269685099569093,1.7269260009244676
236,2.625,5.773535961010423,ols,[ 2.41697812 -3.08891253],2.4169781231750913,-3.0889125266622783
237,2.625,1.99962907836131,ols,[2.42800158 0.74914424],2.428001577225494,0.7491442435931472
238,2.625,1.0309969079845092,ols,[-0.40669392 -0.7000056 ],-0.4066939213395031,-0.7000055995343886
239,2.625,1.590258287057021,ols,[-0.86501607  1.01495744],-0.8650160651357004,1.0149574422633072
240,2.625,1.1663217840801476,ols,[2.73775557 3.25578343],2.7377555744135114,3.255783425559466
241,2.625,19.448597767294817,ols,[-7.05463073  2.35544508],-7.05463073103375,2.355445075442794
242,2.625,1.4751108477048556,ols,[-2.13936204 -1.33217364],-2.1393620356400342,-1.332173635830933
243,2.625,6.5831791558900115,ols,[ 2.44167502 -3.62534451],2.4416750212636424,-3.6253445125167114
244,2.625,2.170785384146221,ols,[-2.33274018 -0.38054274],-2.3327401771420093,-0.3805427434788779
245,2.625,2.042000830862542,ols,[-0.98530425  1.62289426],-0.9853042498722092,1.6228942622958107
246,2.625,1.8619984393742113,ols,[-1.72895764  0.10845995],-1.728957640415519,0.10845995434434032
247,2.625,8.476918820171445,ols,[ 2.39440276 -4.88182957],2.394402759611072,-4.881829570263816
248,2.625,3.4734205898608237,ols,[-1.38178966  2.76941275],-1.381789656696343,2.769412752050403
249,2.625,3.159692774153586,ols,[ 2.46577707 -0.70502473],2.465777069064986,-0.7050247308183386
250,2.625,2.4511987923907816,ols,[ 1.86299093 -0.81358226],1.8629909322444835,-0.8135822583049933
251,2.75,1.342045138568684,ols,[-1.96904782 -1.4011827 ],-1.9690478232398025,-1.401182698725012
252,2.75,1.0879565979829613,ols,[0.94703391 0.89366222],0.9470339130787769,0.8936622201317097
253,2.75,1.244658687474502,ols,[ 0.02254426 -1.40177264],0.022544258337667364,-1.401772640269511
254,2.75,1.0206152978227476,ols,[1.09644714 1.89766989],1.0964471360299308,1.8976698917257102
255,2.75,1.875896720922848,ols,[ 1.29788213 -0.821596  ],1.2978821316774853,-0.8215959986949894
256,2.75,22.29243491864262,ols,[ 6.97840983 -3.50213767],6.978409828842755,-3.5021376710864045
257,2.75,1.8666204275234908,ols,[-3.58216582 -2.9128949 ],-3.5821658213522136,-2.912894902915885
258,2.75,1.975401530073781,ols,[-3.06551317 -1.86607261],-3.0655131672920457,-1.8660726066351887
259,2.75,1.810037386674815,ols,[-0.20869449  2.50748561],-0.2086944940206398,2.5074856133058216
260,2.75,5.641638299551455,ols,[-3.5978189   1.06950583],-3.5978188975814267,1.0695058336166514
261,2.75,3.5440046167814194,ols,[-2.608591    0.84502401],-2.6085910001040986,0.8450240075727444
262,2.75,2.8097223773849085,ols,[3.34555545 1.13796752],3.345555453696022,1.1379675170176133
263,2.75,3.230582466403442,ols,[-2.9090052   0.04271532],-2.9090051971599533,0.042715316454390015
264,2.75,3.586408073463481,ols,[ 3.07607624 -0.14489623],3.0760762440912472,-0.14489622528042184
265,2.75,2.4407127826522412,ols,[ 1.55801748 -1.27057441],1.5580174751136684,-1.2705744144120168
266,2.75,1.0797926349187477,ols,[0.44931781 0.06363565],0.4493178066456674,0.06363564624882678
267,2.75,3.7139746748948825,ols,[-3.3361253  -0.15636432],-3.3361253018186483,-0.15636432090898025
268,2.75,3.943176993805548,ols,[-3.01513752  0.62078149],-3.015137516950499,0.6207814935117403
269,2.75,2.125943560572513,ols,[-1.74872498  0.54031991],-1.7487249793951012,0.5403199069569253
270,2.75,2.072213686312145,ols,[ 1.50644776 -0.8447848 ],1.5064477648771586,-0.8447847978766737
271,2.75,1.271078172926413,ols,[1.16924343 3.47739447],1.1692434295481522,3.477394473409778
272,2.75,1.968439836227897,ols,[-2.15550956 -0.40260028],-2.1555095588424997,-0.40260028087564703
